Component,Origin,License
core,"github.com/Azure/azure-sdk-for-go/services/azurestack/mgmt/2017-06-01/azurestack",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/azurestack/mgmt/2017-06-01/azurestack/azurestackapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/2017-05-01.5.0/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/2018-03-01.6.1/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/2018-08-01.7.0/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/2018-12-01.8.0/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/2019-06-01.9.0/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/2019-08-01.10.0/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/2019-08-01.10.0/batch/batchapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/mgmt/2015-12-01/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/mgmt/2017-01-01/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/mgmt/2017-05-01/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/mgmt/2017-09-01/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/mgmt/2018-12-01/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/mgmt/2019-04-01/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/mgmt/2019-08-01/batch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batch/mgmt/2019-08-01/batch/batchapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batchai/mgmt/2018-03-01/batchai",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batchai/mgmt/2018-05-01/batchai",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/batchai/mgmt/2018-05-01/batchai/batchaiapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cdn/mgmt/2015-06-01/cdn",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cdn/mgmt/2016-04-02/cdn",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cdn/mgmt/2016-10-02/cdn",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cdn/mgmt/2017-04-02/cdn",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cdn/mgmt/2017-10-12/cdn",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cdn/mgmt/2019-04-15/cdn",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cdn/mgmt/2019-04-15/cdn/cdnapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/classic/management",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/classic/management/hostedservice",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/classic/management/location",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/classic/management/osimage",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/classic/management/storageservice",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/classic/management/testutils",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/classic/management/virtualmachine",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/classic/management/virtualmachinedisk",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/classic/management/virtualmachineimage",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/mgmt/2017-04-18/cognitiveservices",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/mgmt/2017-04-18/cognitiveservices/cognitiveservicesapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/autosuggest",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/autosuggest/autosuggestapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/contentmoderator",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/contentmoderator/contentmoderatorapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/customimagesearch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/customimagesearch/customimagesearchapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/customsearch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/customsearch/customsearchapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/entitysearch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/entitysearch/entitysearchapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/face",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/face/faceapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/imagesearch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/imagesearch/imagesearchapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/localsearch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/localsearch/localsearchapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/newssearch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/newssearch/newssearchapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/spellcheck",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/spellcheck/spellcheckapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/videosearch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/videosearch/videosearchapi",Apache-2.0
